scheduler, buf_size, wl_idx, time_millis, solver_res
fq,20, 0, 2539, SAT
fq,20, 1, 3140, SAT
fq,20, 2, 7402, SAT
fq,20, 3, 5642, SAT
fq,20, 4, 4865, SAT
fq,20, 5, 4211, SAT
fq,20, 6, 4572, SAT
fq,20, 7, 2670, SAT
fq,20, 8, 3810, SAT
fq,20, 9, 3373, SAT
fq,20, 10, 3127, SAT
fq,20, 11, 7486, SAT
fq,20, 12, 5562, SAT
fq,20, 13, 3412, SAT
fq,20, 14, 5664, SAT
fq,20, 15, 3202, SAT
fq,20, 16, 7142, SAT
fq,20, 17, 7559, SAT
fq,20, 18, 3594, SAT
fq,20, 19, 5285, SAT
fq,20, 20, 4262, SAT
fq,20, 21, 4091, SAT
fq,20, 22, 5008, SAT
fq,20, 23, 10171, SAT
fq,20, 24, 4936, SAT
fq,20, 25, 4651, SAT
fq,20, 26, 9803, SAT
fq,20, 27, 3218, SAT
fq,20, 28, 5449, SAT
fq,20, 29, 6908, SAT
fq,20, 30, 8384, SAT
fq,20, 31, 3423, SAT
fq,20, 32, 4982, SAT
fq,20, 33, 4033, SAT
fq,20, 34, 2549, SAT
fq,20, 35, 3355, SAT
fq,20, 36, 3808, SAT
fq,20, 37, 4956, SAT
fq,20, 38, 6166, SAT
fq,20, 39, 4977, SAT
fq,20, 40, 4045, SAT
fq,20, 41, 5431, SAT
fq,20, 42, 7068, SAT
fq,20, 43, 6143, SAT
fq,20, 44, 8305, SAT
fq,20, 45, 2696, SAT
fq,20, 46, 2934, SAT
fq,20, 47, 2328, SAT
fq,20, 48, 5529, SAT
fq,20, 49, 5727, SAT
fq,20, 50, 4086, SAT
fq,20, 51, 4267, SAT
fq,20, 52, 2493, SAT
fq,20, 53, 4316, SAT
fq,20, 54, 5946, SAT
fq,20, 55, 3142, SAT
fq,20, 56, 3186, SAT
fq,20, 57, 7485, SAT
fq,20, 58, 5152, SAT
fq,20, 59, 5488, SAT
fq,20, 60, 6388, SAT
fq,20, 61, 3331, SAT
fq,20, 62, 3056, SAT
fq,20, 63, 3629, SAT
fq,20, 64, 4040, SAT
fq,20, 65, 3219, SAT
fq,20, 66, 4874, SAT
fq,20, 67, 2837, SAT
fq,20, 68, 3825, SAT
fq,20, 69, 5983, SAT
fq,20, 70, 1924, SAT
fq,20, 71, 3902, SAT
fq,20, 72, 5090, SAT
fq,20, 73, 3478, SAT
fq,20, 74, 3395, SAT
fq,20, 75, 3711, SAT
fq,20, 76, 2728, SAT
fq,20, 77, 2642, SAT
fq,20, 78, 2795, SAT
fq,20, 79, 3186, SAT
fq,20, 80, 2985, SAT
fq,20, 81, 2641, SAT
fq,20, 82, 4198, SAT
fq,20, 83, 2851, SAT
fq,20, 84, 6529, SAT
fq,20, 85, 5731, SAT
fq,20, 86, 5430, SAT
fq,20, 87, 6535, SAT
fq,20, 88, 3110, SAT
fq,20, 89, 3051, SAT
fq,20, 90, 3910, SAT
fq,20, 91, 4841, SAT
fq,20, 92, 2951, SAT
fq,20, 93, 5459, SAT
fq,20, 94, 4603, SAT
fq,20, 95, 4656, SAT
fq,20, 96, 5935, SAT
fq,20, 97, 4027, SAT
fq,20, 98, 3997, SAT
fq,20, 99, 2946, SAT
fq,20, 100, 5173, SAT
fq,20, 101, 4775, SAT
fq,20, 102, 3913, SAT
fq,20, 103, 2894, SAT
fq,20, 104, 6250, SAT
fq,20, 105, 7303, SAT
fq,20, 106, 6344, SAT
fq,20, 107, 5355, SAT
fq,20, 108, 4998, SAT
fq,20, 109, 2934, SAT
fq,20, 110, 5164, SAT
fq,20, 111, 2977, SAT
fq,20, 112, 2148, UNSAT
fq,20, 113, 1703, UNSAT
fq,20, 114, 1407, UNSAT
fq,20, 115, 1901, UNSAT
fq,20, 116, 2813, SAT
fq,20, 117, 2306, UNSAT
fq,20, 118, 3245, UNSAT
fq,20, 119, 3397, SAT
fq,20, 120, 2292, SAT
fq,20, 121, 2896, SAT
