scheduler, buf_size, wl_idx, time_millis, solver_res
prio,100, 0, 7, SAT
prio,100, 1, 2, SAT
prio,100, 2, 2, SAT
prio,100, 3, 2, SAT
prio,100, 4, 3, SAT
prio,100, 5, 2, SAT
prio,100, 6, 3, SAT
prio,100, 7, 2, SAT
prio,100, 8, 2, SAT
prio,100, 9, 3, SAT
prio,100, 10, 2, SAT
prio,100, 11, 2, SAT
prio,100, 12, 2, SAT
prio,100, 13, 2, SAT
prio,100, 14, 2, SAT
prio,100, 15, 2, SAT
prio,100, 16, 2, SAT
prio,100, 17, 3, SAT
prio,100, 18, 2, SAT
prio,100, 19, 1, SAT
prio,100, 20, 2, SAT
prio,100, 21, 3, SAT
prio,100, 22, 1, UNSAT
prio,100, 23, 1, UNSAT
prio,100, 24, 1, UNSAT
prio,100, 25, 2, SAT
prio,100, 26, 1, UNSAT
prio,100, 27, 0, UNSAT
prio,100, 28, 1, UNSAT
prio,100, 29, 1, UNSAT
prio,100, 30, 1, UNSAT
prio,100, 31, 1, UNSAT
prio,100, 32, 0, UNSAT
prio,100, 33, 2, SAT
prio,100, 34, 2, UNSAT
prio,100, 35, 3, SAT
prio,100, 36, 3, SAT
prio,100, 37, 2, SAT
prio,100, 38, 2, UNSAT
