scheduler, buf_size, wl_idx, time_millis, solver_res
rr,175, 0, 15, SAT
rr,175, 1, 6, SAT
rr,175, 2, 15, SAT
rr,175, 3, 6, SAT
rr,175, 4, 5, SAT
rr,175, 5, 4, SAT
rr,175, 6, 4, SAT
rr,175, 7, 4, SAT
rr,175, 8, 4, SAT
rr,175, 9, 5, SAT
rr,175, 10, 5, SAT
rr,175, 11, 7, SAT
rr,175, 12, 6, SAT
rr,175, 13, 6, SAT
rr,175, 14, 6, SAT
rr,175, 15, 9, SAT
rr,175, 16, 6, SAT
rr,175, 17, 6, SAT
rr,175, 18, 6, SAT
rr,175, 19, 30, SAT
rr,175, 20, 5, SAT
rr,175, 21, 5, SAT
rr,175, 22, 6, SAT
rr,175, 23, 5, SAT
rr,175, 24, 21, SAT
rr,175, 25, 15, SAT
rr,175, 26, 11, SAT
rr,175, 27, 10, SAT
rr,175, 28, 6, SAT
rr,175, 29, 8, SAT
rr,175, 30, 11, SAT
rr,175, 31, 6, SAT
rr,175, 32, 5, SAT
rr,175, 33, 6, SAT
rr,175, 34, 6, SAT
rr,175, 35, 6, SAT
rr,175, 36, 7, SAT
rr,175, 37, 6, SAT
rr,175, 38, 6, SAT
rr,175, 39, 5, SAT
rr,175, 40, 5, SAT
rr,175, 41, 6, SAT
rr,175, 42, 4, SAT
rr,175, 43, 5, SAT
rr,175, 44, 5, SAT
rr,175, 45, 5, SAT
rr,175, 46, 5, SAT
rr,175, 47, 5, SAT
rr,175, 48, 5, SAT
rr,175, 49, 5, SAT
rr,175, 50, 5, SAT
rr,175, 51, 4, SAT
rr,175, 52, 4, SAT
rr,175, 53, 5, SAT
rr,175, 54, 5, SAT
rr,175, 55, 5, SAT
rr,175, 56, 5, SAT
rr,175, 57, 5, SAT
rr,175, 58, 27, SAT
rr,175, 59, 4, SAT
rr,175, 60, 5, SAT
rr,175, 61, 5, SAT
rr,175, 62, 4, SAT
rr,175, 63, 5, SAT
rr,175, 64, 6, SAT
rr,175, 65, 4, SAT
rr,175, 66, 12, SAT
rr,175, 67, 4, SAT
rr,175, 68, 3, SAT
rr,175, 69, 7, SAT
rr,175, 70, 4, SAT
rr,175, 71, 4, SAT
rr,175, 72, 8, SAT
rr,175, 73, 4, SAT
rr,175, 74, 8, SAT
rr,175, 75, 7, SAT
rr,175, 76, 5, SAT
rr,175, 77, 6, SAT
rr,175, 78, 5, SAT
rr,175, 79, 24, SAT
rr,175, 80, 12, UNSAT
rr,175, 81, 16, UNSAT
