scheduler, buf_size, wl_idx, time_millis, solver_res
fq,25, 0, 2535, SAT
fq,25, 1, 2354, SAT
fq,25, 2, 9254, SAT
fq,25, 3, 5406, SAT
fq,25, 4, 6384, SAT
fq,25, 5, 3208, SAT
fq,25, 6, 5808, SAT
fq,25, 7, 4798, SAT
fq,25, 8, 4622, SAT
fq,25, 9, 5077, SAT
fq,25, 10, 4986, SAT
fq,25, 11, 3709, SAT
fq,25, 12, 5371, SAT
fq,25, 13, 3827, SAT
fq,25, 14, 6405, SAT
fq,25, 15, 5347, SAT
fq,25, 16, 7227, SAT
fq,25, 17, 6792, SAT
fq,25, 18, 4956, SAT
fq,25, 19, 5724, SAT
fq,25, 20, 4533, SAT
fq,25, 21, 6860, SAT
fq,25, 22, 2733, SAT
fq,25, 23, 3682, SAT
fq,25, 24, 4997, SAT
fq,25, 25, 6770, SAT
fq,25, 26, 4021, SAT
fq,25, 27, 4417, SAT
fq,25, 28, 3139, SAT
fq,25, 29, 4060, SAT
fq,25, 30, 7267, SAT
fq,25, 31, 4274, SAT
fq,25, 32, 2479, SAT
fq,25, 33, 6318, SAT
fq,25, 34, 7108, SAT
fq,25, 35, 12850, SAT
fq,25, 36, 6172, SAT
fq,25, 37, 6708, SAT
fq,25, 38, 4764, SAT
fq,25, 39, 6104, SAT
fq,25, 40, 2877, SAT
fq,25, 41, 6241, SAT
fq,25, 42, 6755, SAT
fq,25, 43, 4855, SAT
fq,25, 44, 2451, SAT
fq,25, 45, 3205, SAT
fq,25, 46, 3166, SAT
fq,25, 47, 2940, SAT
fq,25, 48, 5191, SAT
fq,25, 49, 3142, SAT
fq,25, 50, 2903, SAT
fq,25, 51, 3553, SAT
fq,25, 52, 6086, SAT
fq,25, 53, 5152, SAT
fq,25, 54, 5388, SAT
fq,25, 55, 4564, SAT
fq,25, 56, 3942, SAT
fq,25, 57, 6669, SAT
fq,25, 58, 4720, SAT
fq,25, 59, 5003, SAT
fq,25, 60, 3994, SAT
fq,25, 61, 2489, SAT
fq,25, 62, 5415, SAT
fq,25, 63, 4268, SAT
fq,25, 64, 5041, SAT
fq,25, 65, 2023, SAT
fq,25, 66, 2362, SAT
fq,25, 67, 2682, SAT
fq,25, 68, 5285, SAT
fq,25, 69, 3620, SAT
fq,25, 70, 3575, SAT
fq,25, 71, 4196, SAT
fq,25, 72, 3140, SAT
fq,25, 73, 4456, SAT
fq,25, 74, 2838, SAT
fq,25, 75, 4535, SAT
fq,25, 76, 2763, SAT
fq,25, 77, 4887, SAT
fq,25, 78, 4820, SAT
fq,25, 79, 3821, SAT
fq,25, 80, 5749, SAT
fq,25, 81, 6951, SAT
fq,25, 82, 2591, SAT
fq,25, 83, 4207, SAT
fq,25, 84, 4010, SAT
fq,25, 85, 3416, SAT
fq,25, 86, 3660, SAT
fq,25, 87, 5363, SAT
fq,25, 88, 2824, SAT
fq,25, 89, 12342, SAT
fq,25, 90, 5114, SAT
fq,25, 91, 4524, SAT
fq,25, 92, 2485, SAT
fq,25, 93, 4737, SAT
fq,25, 94, 6147, SAT
fq,25, 95, 3865, SAT
fq,25, 96, 6029, SAT
fq,25, 97, 3891, SAT
fq,25, 98, 5573, SAT
fq,25, 99, 2799, SAT
fq,25, 100, 6257, SAT
fq,25, 101, 4670, SAT
fq,25, 102, 8065, SAT
fq,25, 103, 4129, SAT
fq,25, 104, 5930, SAT
fq,25, 105, 2630, SAT
fq,25, 106, 4380, SAT
fq,25, 107, 4455, SAT
fq,25, 108, 4507, SAT
fq,25, 109, 3026, SAT
fq,25, 110, 4844, SAT
fq,25, 111, 4938, SAT
fq,25, 112, 5227, SAT
fq,25, 113, 4398, SAT
fq,25, 114, 2061, SAT
fq,25, 115, 2016, UNSAT
fq,25, 116, 2794, UNSAT
fq,25, 117, 2267, UNSAT
fq,25, 118, 2496, SAT
