scheduler, buf_size, wl_idx, time_millis, solver_res
prio,50, 0, 7, SAT
prio,50, 1, 2, SAT
prio,50, 2, 3, SAT
prio,50, 3, 3, SAT
prio,50, 4, 2, SAT
prio,50, 5, 2, SAT
prio,50, 6, 3, SAT
prio,50, 7, 2, SAT
prio,50, 8, 2, SAT
prio,50, 9, 2, SAT
prio,50, 10, 3, SAT
prio,50, 11, 2, SAT
prio,50, 12, 5, SAT
prio,50, 13, 3, SAT
prio,50, 14, 2, SAT
prio,50, 15, 2, SAT
prio,50, 16, 2, SAT
prio,50, 17, 1, SAT
prio,50, 18, 3, SAT
prio,50, 19, 2, SAT
prio,50, 20, 2, SAT
prio,50, 21, 1, SAT
prio,50, 22, 1, SAT
prio,50, 23, 2, SAT
prio,50, 24, 2, SAT
prio,50, 25, 2, SAT
prio,50, 26, 2, SAT
prio,50, 27, 2, SAT
prio,50, 28, 2, SAT
prio,50, 29, 2, UNSAT
prio,50, 30, 1, UNSAT
prio,50, 31, 1, UNSAT
prio,50, 32, 3, SAT
prio,50, 33, 2, SAT
prio,50, 34, 2, UNSAT
prio,50, 35, 1, UNSAT
prio,50, 36, 1, UNSAT
prio,50, 37, 2, SAT
prio,50, 38, 4, UNSAT
prio,50, 39, 4, SAT
prio,50, 40, 2, SAT
prio,50, 41, 2, SAT
