scheduler, buf_size, wl_idx, time_millis, solver_res
rr,150, 0, 31, SAT
rr,150, 1, 6, SAT
rr,150, 2, 4, SAT
rr,150, 3, 31, SAT
rr,150, 4, 7, SAT
rr,150, 5, 5, SAT
rr,150, 6, 4, SAT
rr,150, 7, 4, SAT
rr,150, 8, 4, SAT
rr,150, 9, 4, SAT
rr,150, 10, 4, SAT
rr,150, 11, 5, SAT
rr,150, 12, 9, SAT
rr,150, 13, 18, SAT
rr,150, 14, 4, SAT
rr,150, 15, 23, SAT
rr,150, 16, 11, SAT
rr,150, 17, 8, SAT
rr,150, 18, 4, SAT
rr,150, 19, 4, SAT
rr,150, 20, 28, SAT
rr,150, 21, 52, SAT
rr,150, 22, 38, SAT
rr,150, 23, 13, SAT
rr,150, 24, 19, SAT
rr,150, 25, 15, SAT
rr,150, 26, 8, SAT
rr,150, 27, 13, SAT
rr,150, 28, 4, SAT
rr,150, 29, 4, SAT
rr,150, 30, 5, SAT
rr,150, 31, 12, SAT
rr,150, 32, 4, SAT
rr,150, 33, 4, SAT
rr,150, 34, 4, SAT
rr,150, 35, 28, SAT
rr,150, 36, 19, SAT
rr,150, 37, 5, SAT
rr,150, 38, 5, SAT
rr,150, 39, 7, SAT
rr,150, 40, 13, SAT
rr,150, 41, 5, SAT
rr,150, 42, 15, UNSAT
rr,150, 43, 10, UNSAT
rr,150, 44, 16, UNSAT
rr,150, 45, 21, SAT
rr,150, 46, 15, SAT
rr,150, 47, 18, UNSAT
