scheduler, buf_size, wl_idx, time_millis, solver_res
fq, 30, 0, 2004, SAT
fq, 30, 1, 2567, SAT
fq, 30, 2, 3437, SAT
fq, 30, 3, 2690, SAT
fq, 30, 4, 4308, SAT
fq, 30, 5, 2412, SAT
fq, 30, 6, 4238, SAT
fq, 30, 7, 1892, SAT
fq, 30, 8, 2111, SAT
fq, 30, 9, 3711, SAT
fq, 30, 10, 3930, SAT
fq, 30, 11, 4352, SAT
fq, 30, 12, 1862, SAT
fq, 30, 13, 6025, SAT
fq, 30, 14, 2294, SAT
fq, 30, 15, 2090, SAT
fq, 30, 16, 5237, SAT
fq, 30, 17, 2234, SAT
fq, 30, 18, 4298, SAT
fq, 30, 19, 2634, SAT
fq, 30, 20, 2889, SAT
fq, 30, 21, 2710, SAT
fq, 30, 22, 2015, SAT
fq, 30, 23, 3138, SAT
fq, 30, 24, 2956, SAT
fq, 30, 25, 4489, SAT
fq, 30, 26, 2160, UNSAT
fq, 30, 27, 2257, SAT
fq, 30, 28, 2916, SAT
fq, 30, 29, 1805, UNSAT
fq, 30, 30, 1543, UNSAT
fq, 30, 31, 1824, UNSAT
fq, 30, 32, 2184, SAT
fq, 30, 33, 1498, UNSAT
fq, 30, 34, 1653, UNSAT
fq, 30, 35, 1950, UNSAT
fq, 30, 36, 1491, UNSAT
fq, 30, 37, 1900, UNSAT
fq, 30, 38, 1744, UNSAT
