scheduler, buf_size, wl_idx, time_millis, solver_res
fq, 175, 0, 6564, SAT
fq, 175, 1, 6406, SAT
fq, 175, 2, 3958, SAT
fq, 175, 3, 1920, SAT
fq, 175, 4, 3232, SAT
fq, 175, 5, 3386, SAT
fq, 175, 6, 2741, SAT
fq, 175, 7, 5232, SAT
fq, 175, 8, 3229, SAT
fq, 175, 9, 4414, SAT
fq, 175, 10, 2954, SAT
fq, 175, 11, 3774, SAT
fq, 175, 12, 6523, SAT
fq, 175, 13, 4876, SAT
fq, 175, 14, 5770, SAT
fq, 175, 15, 5674, SAT
fq, 175, 16, 4997, SAT
fq, 175, 17, 4776, SAT
fq, 175, 18, 6817, SAT
fq, 175, 19, 6360, SAT
fq, 175, 20, 4515, SAT
fq, 175, 21, 2733, SAT
fq, 175, 22, 2596, SAT
fq, 175, 23, 6019, SAT
fq, 175, 24, 3351, SAT
fq, 175, 25, 2974, SAT
fq, 175, 26, 3555, SAT
fq, 175, 27, 3209, SAT
fq, 175, 28, 6598, SAT
fq, 175, 29, 5973, SAT
fq, 175, 30, 5251, SAT
fq, 175, 31, 3638, SAT
fq, 175, 32, 2295, SAT
fq, 175, 33, 3150, SAT
fq, 175, 34, 4169, SAT
fq, 175, 35, 2802, SAT
fq, 175, 36, 5545, SAT
fq, 175, 37, 4435, SAT
fq, 175, 38, 2876, SAT
fq, 175, 39, 2821, SAT
fq, 175, 40, 3616, SAT
fq, 175, 41, 5851, SAT
fq, 175, 42, 2233, SAT
fq, 175, 43, 6062, SAT
fq, 175, 44, 3702, SAT
fq, 175, 45, 5341, SAT
fq, 175, 46, 4137, SAT
fq, 175, 47, 3225, SAT
fq, 175, 48, 4885, SAT
fq, 175, 49, 5489, SAT
fq, 175, 50, 5389, SAT
fq, 175, 51, 3849, SAT
fq, 175, 52, 6440, SAT
fq, 175, 53, 4590, SAT
fq, 175, 54, 3153, SAT
fq, 175, 55, 7386, SAT
fq, 175, 56, 4546, SAT
fq, 175, 57, 3897, SAT
fq, 175, 58, 5696, SAT
fq, 175, 59, 5801, SAT
fq, 175, 60, 6218, SAT
fq, 175, 61, 4339, SAT
fq, 175, 62, 4336, SAT
fq, 175, 63, 6529, SAT
fq, 175, 64, 5694, SAT
fq, 175, 65, 3475, SAT
fq, 175, 66, 5519, SAT
fq, 175, 67, 5433, SAT
fq, 175, 68, 5919, SAT
fq, 175, 69, 3881, SAT
fq, 175, 70, 3921, SAT
fq, 175, 71, 4935, SAT
fq, 175, 72, 4258, SAT
fq, 175, 73, 5839, SAT
fq, 175, 74, 3045, SAT
fq, 175, 75, 2916, SAT
fq, 175, 76, 5856, SAT
fq, 175, 77, 3892, SAT
fq, 175, 78, 4784, SAT
fq, 175, 79, 4985, SAT
fq, 175, 80, 3264, SAT
fq, 175, 81, 3971, UNSAT
fq, 175, 82, 3912, SAT
fq, 175, 83, 2709, UNSAT
fq, 175, 84, 3832, SAT
