scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 450, 0, 298, SAT
prio, 450, 1, 239, SAT
prio, 450, 2, 162, SAT
prio, 450, 3, 256, SAT
prio, 450, 4, 225, SAT
prio, 450, 5, 294, SAT
prio, 450, 6, 194, SAT
prio, 450, 7, 234, SAT
prio, 450, 8, 199, SAT
prio, 450, 9, 235, SAT
prio, 450, 10, 225, SAT
prio, 450, 11, 188, SAT
prio, 450, 12, 240, SAT
prio, 450, 13, 227, SAT
prio, 450, 14, 279, SAT
prio, 450, 15, 157, SAT
prio, 450, 16, 123, SAT
prio, 450, 17, 140, SAT
prio, 450, 18, 124, SAT
prio, 450, 19, 103, SAT
prio, 450, 20, 151, SAT
prio, 450, 21, 95, SAT
prio, 450, 22, 132, SAT
prio, 450, 23, 193, SAT
prio, 450, 24, 114, SAT
prio, 450, 25, 106, SAT
prio, 450, 26, 163, SAT
prio, 450, 27, 109, SAT
prio, 450, 28, 119, SAT
prio, 450, 29, 118, SAT
prio, 450, 30, 135, SAT
prio, 450, 31, 115, SAT
prio, 450, 32, 169, SAT
prio, 450, 33, 125, SAT
prio, 450, 34, 173, SAT
prio, 450, 35, 130, SAT
prio, 450, 36, 98, SAT
prio, 450, 37, 130, SAT
prio, 450, 38, 94, SAT
prio, 450, 39, 114, SAT
prio, 450, 40, 176, SAT
prio, 450, 41, 138, SAT
prio, 450, 42, 79, SAT
prio, 450, 43, 45, UNSAT
prio, 450, 44, 27, UNSAT
