scheduler, buf_size, wl_idx, time_millis, solver_res
fq, 200, 0, 2803, SAT
fq, 200, 1, 2049, SAT
fq, 200, 2, 2414, SAT
fq, 200, 3, 4119, SAT
fq, 200, 4, 2586, SAT
fq, 200, 5, 2186, SAT
fq, 200, 6, 2263, SAT
fq, 200, 7, 1635, SAT
fq, 200, 8, 1832, SAT
fq, 200, 9, 3770, SAT
fq, 200, 10, 3422, SAT
fq, 200, 11, 2916, SAT
fq, 200, 12, 3610, SAT
fq, 200, 13, 2687, SAT
fq, 200, 14, 4587, SAT
fq, 200, 15, 2169, SAT
fq, 200, 16, 2590, SAT
fq, 200, 17, 4077, SAT
fq, 200, 18, 3012, SAT
fq, 200, 19, 2817, SAT
fq, 200, 20, 2859, SAT
fq, 200, 21, 1940, SAT
fq, 200, 22, 4757, SAT
fq, 200, 23, 2521, SAT
fq, 200, 24, 2749, SAT
fq, 200, 25, 4512, SAT
fq, 200, 26, 2784, SAT
fq, 200, 27, 3267, SAT
fq, 200, 28, 1738, SAT
fq, 200, 29, 3316, SAT
fq, 200, 30, 2459, SAT
fq, 200, 31, 4087, SAT
fq, 200, 32, 4426, SAT
fq, 200, 33, 4643, SAT
fq, 200, 34, 3301, SAT
fq, 200, 35, 2284, SAT
fq, 200, 36, 2501, SAT
fq, 200, 37, 2901, SAT
fq, 200, 38, 4561, SAT
fq, 200, 39, 2966, SAT
fq, 200, 40, 2264, SAT
fq, 200, 41, 4450, SAT
fq, 200, 42, 2413, SAT
fq, 200, 43, 4111, SAT
fq, 200, 44, 2155, SAT
fq, 200, 45, 2649, SAT
fq, 200, 46, 3499, SAT
fq, 200, 47, 3183, SAT
fq, 200, 48, 2466, SAT
fq, 200, 49, 3918, SAT
fq, 200, 50, 4151, SAT
fq, 200, 51, 2234, SAT
fq, 200, 52, 3520, SAT
fq, 200, 53, 2688, SAT
fq, 200, 54, 3909, SAT
fq, 200, 55, 3107, SAT
fq, 200, 56, 2536, SAT
fq, 200, 57, 1818, SAT
fq, 200, 58, 2499, SAT
fq, 200, 59, 2409, SAT
fq, 200, 60, 2929, SAT
fq, 200, 61, 5920, SAT
fq, 200, 62, 1883, SAT
fq, 200, 63, 2293, SAT
fq, 200, 64, 3672, SAT
fq, 200, 65, 4160, SAT
fq, 200, 66, 3598, SAT
fq, 200, 67, 2608, SAT
fq, 200, 68, 3640, SAT
fq, 200, 69, 8530, SAT
fq, 200, 70, 2004, SAT
fq, 200, 71, 3075, SAT
fq, 200, 72, 4562, SAT
fq, 200, 73, 2724, UNSAT
fq, 200, 74, 1925, UNSAT
fq, 200, 75, 1861, SAT
fq, 200, 76, 2158, UNSAT
fq, 200, 77, 1908, SAT
fq, 200, 78, 2832, SAT
