scheduler, buf_size, wl_idx, time_millis, solver_res
fq, 125, 0, 4878, SAT
fq, 125, 1, 2921, SAT
fq, 125, 2, 5351, SAT
fq, 125, 3, 4751, SAT
fq, 125, 4, 6466, SAT
fq, 125, 5, 5470, SAT
fq, 125, 6, 3170, SAT
fq, 125, 7, 4312, SAT
fq, 125, 8, 5867, SAT
fq, 125, 9, 7883, SAT
fq, 125, 10, 3086, SAT
fq, 125, 11, 3744, SAT
fq, 125, 12, 5060, SAT
fq, 125, 13, 5333, SAT
fq, 125, 14, 4696, SAT
fq, 125, 15, 4156, SAT
fq, 125, 16, 5914, SAT
fq, 125, 17, 5324, SAT
fq, 125, 18, 3393, SAT
fq, 125, 19, 4699, SAT
fq, 125, 20, 7472, SAT
fq, 125, 21, 6383, SAT
fq, 125, 22, 7951, SAT
fq, 125, 23, 6539, SAT
fq, 125, 24, 6106, SAT
fq, 125, 25, 6392, SAT
fq, 125, 26, 4507, SAT
fq, 125, 27, 2519, SAT
fq, 125, 28, 4858, SAT
fq, 125, 29, 6331, SAT
fq, 125, 30, 2178, SAT
fq, 125, 31, 3335, SAT
fq, 125, 32, 2865, SAT
fq, 125, 33, 2168, SAT
fq, 125, 34, 2115, SAT
fq, 125, 35, 2699, SAT
fq, 125, 36, 4011, SAT
fq, 125, 37, 2734, SAT
fq, 125, 38, 4702, SAT
fq, 125, 39, 2480, SAT
fq, 125, 40, 2004, SAT
fq, 125, 41, 3058, SAT
fq, 125, 42, 1696, SAT
fq, 125, 43, 2413, SAT
fq, 125, 44, 1693, SAT
fq, 125, 45, 1341, SAT
fq, 125, 46, 2538, SAT
fq, 125, 47, 2688, SAT
fq, 125, 48, 2572, SAT
fq, 125, 49, 5813, SAT
fq, 125, 50, 5532, SAT
fq, 125, 51, 3290, SAT
fq, 125, 52, 2707, SAT
fq, 125, 53, 2634, SAT
fq, 125, 54, 2040, SAT
fq, 125, 55, 1453, SAT
fq, 125, 56, 3802, SAT
fq, 125, 57, 3366, SAT
fq, 125, 58, 1979, SAT
fq, 125, 59, 2063, SAT
fq, 125, 60, 2292, SAT
fq, 125, 61, 3225, SAT
fq, 125, 62, 2609, SAT
fq, 125, 63, 4988, SAT
fq, 125, 64, 4634, SAT
fq, 125, 65, 3087, SAT
fq, 125, 66, 5089, SAT
fq, 125, 67, 3026, SAT
fq, 125, 68, 3446, SAT
fq, 125, 69, 3496, SAT
fq, 125, 70, 3596, SAT
fq, 125, 71, 5067, SAT
fq, 125, 72, 3235, SAT
fq, 125, 73, 2931, SAT
fq, 125, 74, 3785, SAT
fq, 125, 75, 3253, SAT
fq, 125, 76, 3085, SAT
fq, 125, 77, 4910, SAT
fq, 125, 78, 3358, SAT
fq, 125, 79, 4837, SAT
fq, 125, 80, 2247, SAT
fq, 125, 81, 2922, SAT
fq, 125, 82, 1688, SAT
fq, 125, 83, 2169, SAT
fq, 125, 84, 3237, SAT
fq, 125, 85, 4399, SAT
fq, 125, 86, 4983, SAT
fq, 125, 87, 2967, SAT
fq, 125, 88, 2780, SAT
fq, 125, 89, 3680, SAT
fq, 125, 90, 3515, SAT
fq, 125, 91, 2201, SAT
fq, 125, 92, 1470, SAT
fq, 125, 93, 1809, SAT
fq, 125, 94, 2601, SAT
fq, 125, 95, 3385, SAT
fq, 125, 96, 2581, SAT
fq, 125, 97, 5513, SAT
fq, 125, 98, 4399, SAT
fq, 125, 99, 4422, SAT
fq, 125, 100, 2926, SAT
fq, 125, 101, 3239, SAT
fq, 125, 102, 3826, SAT
fq, 125, 103, 5062, SAT
fq, 125, 104, 3097, SAT
fq, 125, 105, 3339, SAT
fq, 125, 106, 2608, SAT
fq, 125, 107, 4856, SAT
fq, 125, 108, 7157, SAT
fq, 125, 109, 5456, SAT
fq, 125, 110, 3002, SAT
fq, 125, 111, 2803, SAT
fq, 125, 112, 4127, SAT
fq, 125, 113, 3502, SAT
fq, 125, 114, 2136, SAT
fq, 125, 115, 2406, SAT
fq, 125, 116, 2733, SAT
fq, 125, 117, 4576, SAT
fq, 125, 118, 2356, SAT
fq, 125, 119, 4175, SAT
fq, 125, 120, 2901, SAT
fq, 125, 121, 1982, SAT
fq, 125, 122, 2452, SAT
fq, 125, 123, 1869, SAT
fq, 125, 124, 4695, SAT
fq, 125, 125, 4186, SAT
fq, 125, 126, 1426, SAT
fq, 125, 127, 4924, SAT
fq, 125, 128, 3289, SAT
fq, 125, 129, 7429, SAT
fq, 125, 130, 3458, SAT
fq, 125, 131, 7383, SAT
fq, 125, 132, 8104, SAT
fq, 125, 133, 3994, SAT
fq, 125, 134, 1811, SAT
fq, 125, 135, 2367, SAT
fq, 125, 136, 5325, SAT
fq, 125, 137, 3036, SAT
fq, 125, 138, 2326, SAT
fq, 125, 139, 2691, SAT
fq, 125, 140, 4073, SAT
fq, 125, 141, 3242, SAT
fq, 125, 142, 2542, SAT
fq, 125, 143, 2794, SAT
fq, 125, 144, 4476, SAT
fq, 125, 145, 2433, SAT
fq, 125, 146, 1519, SAT
fq, 125, 147, 3423, SAT
fq, 125, 148, 4972, SAT
fq, 125, 149, 3075, SAT
fq, 125, 150, 5673, SAT
fq, 125, 151, 5835, SAT
fq, 125, 152, 2650, SAT
fq, 125, 153, 5602, SAT
fq, 125, 154, 5937, SAT
fq, 125, 155, 3417, SAT
fq, 125, 156, 5531, SAT
fq, 125, 157, 3489, SAT
fq, 125, 158, 6196, SAT
fq, 125, 159, 9031, SAT
fq, 125, 160, 3129, SAT
fq, 125, 161, 2927, SAT
fq, 125, 162, 2604, SAT
fq, 125, 163, 3910, SAT
fq, 125, 164, 3464, SAT
fq, 125, 165, 5292, SAT
fq, 125, 166, 2861, SAT
fq, 125, 167, 2349, SAT
fq, 125, 168, 4559, SAT
fq, 125, 169, 3211, SAT
fq, 125, 170, 3395, SAT
fq, 125, 171, 3736, SAT
fq, 125, 172, 2885, SAT
fq, 125, 173, 3321, SAT
fq, 125, 174, 2432, SAT
fq, 125, 175, 3591, SAT
fq, 125, 176, 2666, SAT
fq, 125, 177, 2928, SAT
fq, 125, 178, 3963, SAT
fq, 125, 179, 6161, SAT
fq, 125, 180, 4029, SAT
fq, 125, 181, 5332, SAT
fq, 125, 182, 3609, SAT
fq, 125, 183, 3817, SAT
fq, 125, 184, 6367, SAT
fq, 125, 185, 3111, SAT
fq, 125, 186, 3306, SAT
fq, 125, 187, 5013, SAT
fq, 125, 188, 4509, SAT
fq, 125, 189, 5519, SAT
fq, 125, 190, 2615, SAT
fq, 125, 191, 2067, SAT
fq, 125, 192, 2621, SAT
