scheduler, buf_size, wl_idx, time_millis, solver_res
leaf,10, 0, 40553, SAT
leaf,10, 1, 1655, SAT
leaf,10, 2, 1732, SAT
leaf,10, 3, 3678, SAT
leaf,10, 4, 3518, SAT
leaf,10, 5, 2837, SAT
leaf,10, 6, 3207, SAT
leaf,10, 7, 2738, SAT
leaf,10, 8, 1752, SAT
leaf,10, 9, 2651, SAT
leaf,10, 10, 1284, SAT
leaf,10, 11, 641, SAT
leaf,10, 12, 53, UNSAT
leaf,10, 13, 41, UNSAT
leaf,10, 14, 274, UNSAT
leaf,10, 15, 1425, SAT
leaf,10, 16, 47, UNSAT
leaf,10, 17, 54, UNSAT
leaf,10, 18, 234, UNSAT
leaf,10, 19, 111, UNSAT
leaf,10, 20, 29, UNSAT
leaf,10, 21, 126, UNSAT
leaf,10, 22, 274, UNSAT
leaf,10, 23, 521, UNSAT
leaf,10, 24, 1793, UNSAT
leaf,10, 25, 1862, UNSAT
leaf,10, 26, 3044, UNSAT
leaf,10, 27, 652, UNSAT
