scheduler, buf_size, wl_idx, time_millis, solver_res
leaf,10, 0, 40605, SAT
leaf,10, 1, 1438, SAT
leaf,10, 2, 1265, SAT
leaf,10, 3, 3490, SAT
leaf,10, 4, 3473, SAT
leaf,10, 5, 3136, SAT
leaf,10, 6, 2023, SAT
leaf,10, 7, 2050, SAT
leaf,10, 8, 1799, SAT
leaf,10, 9, 3257, SAT
leaf,10, 10, 1156, SAT
leaf,10, 11, 770, SAT
leaf,10, 12, 56, UNSAT
leaf,10, 13, 105, UNSAT
leaf,10, 14, 32, UNSAT
leaf,10, 15, 1257, SAT
leaf,10, 16, 59, UNSAT
leaf,10, 17, 16, UNSAT
leaf,10, 18, 58, UNSAT
leaf,10, 19, 60, UNSAT
leaf,10, 20, 18, UNSAT
leaf,10, 21, 92, UNSAT
leaf,10, 22, 103, UNSAT
leaf,10, 23, 362, UNSAT
leaf,10, 24, 2084, UNSAT
leaf,10, 25, 797, UNSAT
leaf,10, 26, 5650, UNSAT
leaf,10, 27, 639, UNSAT
