scheduler, buf_size, wl_idx, time_millis, solver_res
leaf,80, 0, 51992, SAT
leaf,80, 1, 57920, SAT
leaf,80, 2, 94021, SAT
leaf,80, 3, 62752, SAT
leaf,80, 4, 52815, SAT
leaf,80, 5, 48884, SAT
leaf,80, 6, 51846, SAT
leaf,80, 7, 56836, SAT
leaf,80, 8, 51412, SAT
leaf,80, 9, 54942, SAT
leaf,80, 10, 54613, SAT
leaf,80, 11, 29521, SAT
leaf,80, 12, 23530, SAT
leaf,80, 13, 67603, SAT
leaf,80, 14, 53273, SAT
leaf,80, 15, 39827, SAT
leaf,80, 16, 44435, SAT
leaf,80, 17, 45142, SAT
leaf,80, 18, 39057, SAT
leaf,80, 19, 61832, SAT
leaf,80, 20, 54569, SAT
leaf,80, 21, 49203, SAT
leaf,80, 22, 49150, SAT
leaf,80, 23, 39772, SAT
leaf,80, 24, 41620, SAT
leaf,80, 25, 56389, SAT
leaf,80, 26, 46479, SAT
leaf,80, 27, 56272, SAT
leaf,80, 28, 65207, SAT
leaf,80, 29, 30402, SAT
leaf,80, 30, 17286, SAT
leaf,80, 31, 24404, SAT
leaf,80, 32, 24466, SAT
leaf,80, 33, 28398, SAT
leaf,80, 34, 23846, SAT
leaf,80, 35, 11177, SAT
leaf,80, 36, 41941, SAT
leaf,80, 37, 32105, SAT
leaf,80, 38, 33301, SAT
leaf,80, 39, 38447, SAT
leaf,80, 40, 36998, SAT
leaf,80, 41, 36848, SAT
leaf,80, 42, 28079, SAT
leaf,80, 43, 26951, SAT
leaf,80, 44, 27551, SAT
leaf,80, 45, 29527, SAT
leaf,80, 46, 59907, SAT
leaf,80, 47, 52441, SAT
leaf,80, 48, 73971, SAT
