scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 100, 0, 93, SAT
prio, 100, 1, 100, SAT
prio, 100, 2, 94, SAT
prio, 100, 3, 78, SAT
prio, 100, 4, 68, SAT
prio, 100, 5, 89, SAT
prio, 100, 6, 96, SAT
prio, 100, 7, 133, SAT
prio, 100, 8, 108, SAT
prio, 100, 9, 75, SAT
prio, 100, 10, 131, SAT
prio, 100, 11, 64, SAT
prio, 100, 12, 90, SAT
prio, 100, 13, 80, SAT
prio, 100, 14, 85, SAT
prio, 100, 15, 83, SAT
prio, 100, 16, 78, SAT
prio, 100, 17, 95, SAT
prio, 100, 18, 55, SAT
prio, 100, 19, 90, SAT
prio, 100, 20, 86, SAT
