scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 175, 0, 38, SAT
prio, 175, 1, 24, SAT
prio, 175, 2, 41, SAT
prio, 175, 3, 26, SAT
prio, 175, 4, 26, SAT
prio, 175, 5, 23, SAT
prio, 175, 6, 50, SAT
prio, 175, 7, 45, SAT
prio, 175, 8, 26, SAT
prio, 175, 9, 27, SAT
prio, 175, 10, 32, SAT
prio, 175, 11, 27, SAT
prio, 175, 12, 27, SAT
prio, 175, 13, 24, SAT
prio, 175, 14, 19, SAT
prio, 175, 15, 34, SAT
prio, 175, 16, 23, SAT
prio, 175, 17, 25, SAT
prio, 175, 18, 29, SAT
prio, 175, 19, 29, SAT
prio, 175, 20, 8, UNSAT
prio, 175, 21, 20, UNSAT
prio, 175, 22, 24, UNSAT
prio, 175, 23, 23, UNSAT
prio, 175, 24, 9, UNSAT
prio, 175, 25, 8, UNSAT
prio, 175, 26, 19, UNSAT
