scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 25, 0, 88, SAT
prio, 25, 1, 192, SAT
prio, 25, 2, 166, SAT
prio, 25, 3, 212, SAT
prio, 25, 4, 147, SAT
prio, 25, 5, 162, SAT
prio, 25, 6, 184, SAT
prio, 25, 7, 239, SAT
prio, 25, 8, 151, SAT
prio, 25, 9, 136, SAT
prio, 25, 10, 131, SAT
prio, 25, 11, 140, SAT
prio, 25, 12, 129, SAT
prio, 25, 13, 164, SAT
prio, 25, 14, 228, SAT
prio, 25, 15, 268, SAT
prio, 25, 16, 198, SAT
prio, 25, 17, 127, SAT
prio, 25, 18, 246, SAT
prio, 25, 19, 225, SAT
prio, 25, 20, 195, SAT
prio, 25, 21, 177, SAT
prio, 25, 22, 280, SAT
prio, 25, 23, 204, SAT
prio, 25, 24, 120, SAT
prio, 25, 25, 127, SAT
prio, 25, 26, 210, SAT
prio, 25, 27, 209, SAT
prio, 25, 28, 143, SAT
prio, 25, 29, 145, SAT
prio, 25, 30, 209, SAT
prio, 25, 31, 154, SAT
prio, 25, 32, 140, SAT
prio, 25, 33, 222, SAT
prio, 25, 34, 188, SAT
prio, 25, 35, 141, SAT
prio, 25, 36, 233, SAT
prio, 25, 37, 154, SAT
prio, 25, 38, 158, SAT
prio, 25, 39, 195, SAT
prio, 25, 40, 125, SAT
prio, 25, 41, 128, SAT
prio, 25, 42, 95, SAT
prio, 25, 43, 98, SAT
prio, 25, 44, 96, SAT
prio, 25, 45, 65, SAT
prio, 25, 46, 81, SAT
prio, 25, 47, 88, SAT
prio, 25, 48, 146, SAT
prio, 25, 49, 140, SAT
prio, 25, 50, 94, SAT
prio, 25, 51, 95, SAT
prio, 25, 52, 121, SAT
prio, 25, 53, 92, SAT
prio, 25, 54, 106, SAT
prio, 25, 55, 116, SAT
prio, 25, 56, 105, SAT
prio, 25, 57, 160, SAT
prio, 25, 58, 103, SAT
prio, 25, 59, 115, SAT
prio, 25, 60, 87, SAT
prio, 25, 61, 28, UNSAT
prio, 25, 62, 25, UNSAT
