scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 450, 0, 26, SAT
prio, 450, 1, 22, SAT
prio, 450, 2, 34, SAT
prio, 450, 3, 28, SAT
prio, 450, 4, 41, SAT
prio, 450, 5, 29, SAT
prio, 450, 6, 25, SAT
prio, 450, 7, 28, SAT
prio, 450, 8, 25, SAT
prio, 450, 9, 50, SAT
prio, 450, 10, 23, SAT
prio, 450, 11, 28, SAT
prio, 450, 12, 11, UNSAT
prio, 450, 13, 29, UNSAT
prio, 450, 14, 9, UNSAT
prio, 450, 15, 8, UNSAT
prio, 450, 16, 39, UNSAT
prio, 450, 17, 22, UNSAT
prio, 450, 18, 44, UNSAT
prio, 450, 19, 54, UNSAT
prio, 450, 20, 121, SAT
prio, 450, 21, 61, SAT
