scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 450, 0, 175, SAT
prio, 450, 1, 187, SAT
prio, 450, 2, 195, SAT
prio, 450, 3, 164, SAT
prio, 450, 4, 273, SAT
prio, 450, 5, 213, SAT
prio, 450, 6, 401, SAT
prio, 450, 7, 228, SAT
prio, 450, 8, 147, SAT
prio, 450, 9, 230, SAT
prio, 450, 10, 179, SAT
prio, 450, 11, 195, SAT
prio, 450, 12, 259, SAT
prio, 450, 13, 268, SAT
prio, 450, 14, 278, SAT
prio, 450, 15, 89, SAT
prio, 450, 16, 123, SAT
prio, 450, 17, 153, SAT
prio, 450, 18, 95, SAT
prio, 450, 19, 115, SAT
prio, 450, 20, 105, SAT
prio, 450, 21, 132, SAT
prio, 450, 22, 160, SAT
prio, 450, 23, 150, SAT
prio, 450, 24, 123, SAT
prio, 450, 25, 110, SAT
prio, 450, 26, 179, SAT
prio, 450, 27, 290, SAT
prio, 450, 28, 215, SAT
prio, 450, 29, 764, SAT
prio, 450, 30, 325, SAT
prio, 450, 31, 188, SAT
prio, 450, 32, 140, SAT
prio, 450, 33, 170, SAT
prio, 450, 34, 130, SAT
prio, 450, 35, 122, SAT
prio, 450, 36, 232, SAT
prio, 450, 37, 130, SAT
prio, 450, 38, 130, SAT
prio, 450, 39, 164, SAT
prio, 450, 40, 100, SAT
prio, 450, 41, 122, SAT
prio, 450, 42, 158, SAT
prio, 450, 43, 31, UNSAT
prio, 450, 44, 24, UNSAT
