scheduler, buf_size, wl_idx, time_millis, solver_res
fq,20, 0, 5010, SAT
fq,20, 1, 3633, SAT
fq,20, 2, 5818, SAT
fq,20, 3, 3023, SAT
fq,20, 4, 3622, SAT
fq,20, 5, 5843, SAT
fq,20, 6, 4191, SAT
fq,20, 7, 3533, SAT
fq,20, 8, 4318, SAT
fq,20, 9, 3117, SAT
fq,20, 10, 5126, SAT
fq,20, 11, 4225, SAT
fq,20, 12, 5150, SAT
fq,20, 13, 3059, SAT
fq,20, 14, 2895, SAT
fq,20, 15, 4768, SAT
fq,20, 16, 5818, SAT
fq,20, 17, 4958, SAT
fq,20, 18, 3631, SAT
fq,20, 19, 5112, SAT
fq,20, 20, 3158, SAT
fq,20, 21, 6048, SAT
fq,20, 22, 3463, SAT
fq,20, 23, 6997, SAT
fq,20, 24, 3686, SAT
fq,20, 25, 7839, SAT
