scheduler, buf_size, wl_idx, time_millis, solver_res
prio,20, 0, 19, SAT
prio,20, 1, 18, SAT
prio,20, 2, 10, SAT
prio,20, 3, 8, SAT
prio,20, 4, 5, SAT
prio,20, 5, 6, SAT
prio,20, 6, 5, SAT
prio,20, 7, 6, SAT
prio,20, 8, 12, SAT
prio,20, 9, 8, SAT
prio,20, 10, 9, SAT
prio,20, 11, 14, SAT
prio,20, 12, 7, SAT
prio,20, 13, 6, SAT
prio,20, 14, 6, SAT
prio,20, 15, 7, SAT
prio,20, 16, 8, SAT
prio,20, 17, 5, SAT
prio,20, 18, 6, SAT
prio,20, 19, 9, SAT
prio,20, 20, 5, SAT
prio,20, 21, 6, SAT
prio,20, 22, 7, SAT
prio,20, 23, 13, SAT
prio,20, 24, 6, SAT
prio,20, 25, 12, SAT
prio,20, 26, 10, SAT
prio,20, 27, 43, SAT
prio,20, 28, 6, SAT
prio,20, 29, 12, SAT
prio,20, 30, 10, SAT
prio,20, 31, 8, SAT
prio,20, 32, 4, SAT
prio,20, 33, 8, SAT
prio,20, 34, 6, SAT
prio,20, 35, 4, SAT
prio,20, 36, 10, SAT
prio,20, 37, 8, SAT
prio,20, 38, 9, SAT
prio,20, 39, 11, SAT
prio,20, 40, 8, SAT
prio,20, 41, 5, SAT
prio,20, 42, 6, SAT
prio,20, 43, 13, SAT
prio,20, 44, 14, SAT
prio,20, 45, 6, SAT
prio,20, 46, 7, SAT
prio,20, 47, 14, SAT
prio,20, 48, 10, SAT
prio,20, 49, 8, SAT
prio,20, 50, 6, SAT
prio,20, 51, 6, SAT
prio,20, 52, 4, UNSAT
prio,20, 53, 2, UNSAT
prio,20, 54, 1, UNSAT
prio,20, 55, 1, UNSAT
prio,20, 56, 1, UNSAT
prio,20, 57, 10, SAT
prio,20, 58, 8, UNSAT
prio,20, 59, 35, SAT
prio,20, 60, 26, SAT
prio,20, 61, 9, SAT
