scheduler, buf_size, wl_idx, time_millis, solver_res
rr,350, 0, 229, SAT
rr,350, 1, 101, SAT
rr,350, 2, 55, SAT
rr,350, 3, 48, SAT
rr,350, 4, 117, SAT
rr,350, 5, 52, SAT
rr,350, 6, 82, SAT
rr,350, 7, 33, SAT
rr,350, 8, 20, SAT
rr,350, 9, 42, SAT
rr,350, 10, 27, SAT
rr,350, 11, 52, SAT
rr,350, 12, 81, SAT
rr,350, 13, 44, SAT
rr,350, 14, 20, SAT
rr,350, 15, 30, SAT
rr,350, 16, 26, SAT
rr,350, 17, 20, SAT
rr,350, 18, 44, SAT
rr,350, 19, 15, SAT
rr,350, 20, 11, SAT
rr,350, 21, 11, SAT
rr,350, 22, 11, SAT
rr,350, 23, 76, SAT
rr,350, 24, 17, SAT
rr,350, 25, 14, SAT
rr,350, 26, 16, SAT
rr,350, 27, 79, UNSAT
