scheduler, buf_size, wl_idx, time_millis, solver_res
fq, 400, 0, 1697, SAT
fq, 400, 1, 2935, SAT
fq, 400, 2, 4339, SAT
fq, 400, 3, 3084, SAT
fq, 400, 4, 3516, SAT
fq, 400, 5, 4081, SAT
fq, 400, 6, 2698, SAT
fq, 400, 7, 2966, SAT
fq, 400, 8, 5161, SAT
fq, 400, 9, 3251, SAT
fq, 400, 10, 2703, SAT
fq, 400, 11, 2519, SAT
fq, 400, 12, 1244, SAT
fq, 400, 13, 1520, SAT
fq, 400, 14, 4492, SAT
fq, 400, 15, 1999, SAT
fq, 400, 16, 1847, SAT
fq, 400, 17, 1351, SAT
fq, 400, 18, 2286, SAT
fq, 400, 19, 1934, SAT
fq, 400, 20, 2224, SAT
fq, 400, 21, 1429, SAT
fq, 400, 22, 891, SAT
fq, 400, 23, 2108, SAT
fq, 400, 24, 2229, SAT
fq, 400, 25, 1303, SAT
fq, 400, 26, 1399, SAT
fq, 400, 27, 2583, SAT
fq, 400, 28, 2157, SAT
fq, 400, 29, 2650, SAT
fq, 400, 30, 2694, SAT
fq, 400, 31, 1238, SAT
fq, 400, 32, 2176, SAT
fq, 400, 33, 3135, SAT
fq, 400, 34, 3927, SAT
fq, 400, 35, 2623, SAT
fq, 400, 36, 2575, SAT
fq, 400, 37, 2312, SAT
fq, 400, 38, 1075, SAT
fq, 400, 39, 3108, SAT
fq, 400, 40, 1629, SAT
fq, 400, 41, 2688, SAT
fq, 400, 42, 2375, SAT
fq, 400, 43, 1215, SAT
fq, 400, 44, 3635, SAT
fq, 400, 45, 2217, SAT
fq, 400, 46, 1592, SAT
fq, 400, 47, 2988, SAT
fq, 400, 48, 2514, SAT
fq, 400, 49, 1027, SAT
fq, 400, 50, 2006, SAT
fq, 400, 51, 1336, SAT
fq, 400, 52, 1697, SAT
fq, 400, 53, 4032, SAT
fq, 400, 54, 4022, SAT
fq, 400, 55, 4719, SAT
fq, 400, 56, 3472, SAT
fq, 400, 57, 4684, SAT
fq, 400, 58, 1873, SAT
fq, 400, 59, 1476, SAT
fq, 400, 60, 3046, SAT
fq, 400, 61, 5193, SAT
fq, 400, 62, 2284, SAT
fq, 400, 63, 1380, SAT
fq, 400, 64, 1212, SAT
fq, 400, 65, 3421, SAT
fq, 400, 66, 2074, SAT
fq, 400, 67, 1564, SAT
fq, 400, 68, 1623, SAT
fq, 400, 69, 1290, SAT
fq, 400, 70, 1562, SAT
fq, 400, 71, 1765, SAT
fq, 400, 72, 1973, SAT
fq, 400, 73, 2239, SAT
fq, 400, 74, 2535, SAT
fq, 400, 75, 2135, SAT
fq, 400, 76, 3129, SAT
fq, 400, 77, 2990, SAT
fq, 400, 78, 1419, SAT
fq, 400, 79, 2117, SAT
fq, 400, 80, 2302, SAT
fq, 400, 81, 1446, SAT
fq, 400, 82, 3358, SAT
fq, 400, 83, 3540, SAT
fq, 400, 84, 3680, SAT
fq, 400, 85, 2096, SAT
fq, 400, 86, 3656, SAT
fq, 400, 87, 3643, SAT
fq, 400, 88, 2889, SAT
fq, 400, 89, 3740, SAT
fq, 400, 90, 2209, SAT
fq, 400, 91, 3119, SAT
fq, 400, 92, 2406, SAT
fq, 400, 93, 3138, SAT
fq, 400, 94, 2623, SAT
fq, 400, 95, 4135, SAT
