scheduler, buf_size, wl_idx, time_millis, solver_res
leaf,10, 0, 7127, SAT
leaf,10, 1, 4169, SAT
leaf,10, 2, 5686, SAT
leaf,10, 3, 5252, SAT
leaf,10, 4, 5226, SAT
leaf,10, 5, 5060, SAT
leaf,10, 6, 5210, SAT
leaf,10, 7, 4498, SAT
leaf,10, 8, 3844, SAT
leaf,10, 9, 4457, SAT
leaf,10, 10, 2949, SAT
leaf,10, 11, 5099, SAT
leaf,10, 12, 4042, SAT
leaf,10, 13, 5383, SAT
leaf,10, 14, 3532, SAT
leaf,10, 15, 1472, SAT
leaf,10, 16, 1390, SAT
leaf,10, 17, 1420, SAT
leaf,10, 18, 1921, SAT
leaf,10, 19, 1459, SAT
leaf,10, 20, 1594, SAT
leaf,10, 21, 1420, SAT
leaf,10, 22, 2962, SAT
leaf,10, 23, 3338, SAT
leaf,10, 24, 1624, SAT
leaf,10, 25, 1125, SAT
leaf,10, 26, 1232, SAT
leaf,10, 27, 1132, SAT
leaf,10, 28, 1085, SAT
leaf,10, 29, 1494, SAT
leaf,10, 30, 2069, SAT
leaf,10, 31, 1414, SAT
leaf,10, 32, 1191, SAT
leaf,10, 33, 1789, SAT
leaf,10, 34, 3045, SAT
leaf,10, 35, 2019, SAT
leaf,10, 36, 1102, SAT
leaf,10, 37, 1127, SAT
leaf,10, 38, 1611, SAT
leaf,10, 39, 654, SAT
leaf,10, 40, 524, SAT
leaf,10, 41, 1517, SAT
leaf,10, 42, 1505, SAT
leaf,10, 43, 1479, SAT
leaf,10, 44, 1670, SAT
leaf,10, 45, 1140, SAT
leaf,10, 46, 902, SAT
leaf,10, 47, 464, UNSAT
leaf,10, 48, 600, UNSAT
leaf,10, 49, 1874, SAT
leaf,10, 50, 298, UNSAT
leaf,10, 51, 915, UNSAT
leaf,10, 52, 924, SAT
leaf,10, 53, 954, UNSAT
leaf,10, 54, 399, UNSAT
leaf,10, 55, 631, UNSAT
leaf,10, 56, 618, UNSAT
leaf,10, 57, 90, UNSAT
leaf,10, 58, 604, UNSAT
leaf,10, 59, 101, UNSAT
leaf,10, 60, 699, UNSAT
leaf,10, 61, 394, UNSAT
leaf,10, 62, 3920, UNSAT
leaf,10, 63, 275, UNSAT
leaf,10, 64, 8610, UNSAT
leaf,10, 65, 15551, UNSAT
leaf,10, 66, 17826, UNSAT
leaf,10, 67, 27976, SAT
leaf,10, 68, 84105, SAT
leaf,10, 69, 75977, SAT
leaf,10, 70, 12702, UNSAT
leaf,10, 71, 17045, UNSAT
leaf,10, 72, 58243, UNSAT
