scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 300, 0, 37, SAT
prio, 300, 1, 28, SAT
prio, 300, 2, 37, SAT
prio, 300, 3, 48, SAT
prio, 300, 4, 25, SAT
prio, 300, 5, 32, SAT
prio, 300, 6, 47, SAT
prio, 300, 7, 39, SAT
prio, 300, 8, 34, SAT
prio, 300, 9, 35, SAT
prio, 300, 10, 26, SAT
prio, 300, 11, 31, SAT
prio, 300, 12, 51, SAT
prio, 300, 13, 29, SAT
prio, 300, 14, 29, SAT
prio, 300, 15, 20, SAT
prio, 300, 16, 26, SAT
prio, 300, 17, 40, SAT
prio, 300, 18, 25, SAT
prio, 300, 19, 29, SAT
prio, 300, 20, 26, SAT
prio, 300, 21, 24, SAT
prio, 300, 22, 43, SAT
prio, 300, 23, 23, UNSAT
prio, 300, 24, 14, UNSAT
prio, 300, 25, 13, UNSAT
prio, 300, 26, 18, UNSAT
prio, 300, 27, 12, UNSAT
prio, 300, 28, 44, SAT
prio, 300, 29, 31, SAT
prio, 300, 30, 39, SAT
prio, 300, 31, 24, UNSAT
prio, 300, 32, 47, SAT
prio, 300, 33, 53, SAT
