scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 150, 0, 129, SAT
prio, 150, 1, 173, SAT
prio, 150, 2, 208, SAT
prio, 150, 3, 243, SAT
prio, 150, 4, 195, SAT
prio, 150, 5, 187, SAT
prio, 150, 6, 241, SAT
prio, 150, 7, 160, SAT
prio, 150, 8, 149, SAT
prio, 150, 9, 232, SAT
prio, 150, 10, 262, SAT
prio, 150, 11, 172, SAT
prio, 150, 12, 229, SAT
prio, 150, 13, 185, SAT
prio, 150, 14, 116, SAT
prio, 150, 15, 91, SAT
prio, 150, 16, 164, SAT
prio, 150, 17, 126, SAT
prio, 150, 18, 85, SAT
prio, 150, 19, 171, SAT
prio, 150, 20, 92, SAT
prio, 150, 21, 124, SAT
prio, 150, 22, 204, SAT
prio, 150, 23, 124, SAT
prio, 150, 24, 102, SAT
prio, 150, 25, 156, SAT
prio, 150, 26, 177, SAT
prio, 150, 27, 109, SAT
prio, 150, 28, 134, SAT
prio, 150, 29, 112, SAT
prio, 150, 30, 96, SAT
prio, 150, 31, 141, SAT
prio, 150, 32, 139, SAT
prio, 150, 33, 99, SAT
prio, 150, 34, 111, SAT
prio, 150, 35, 78, SAT
prio, 150, 36, 76, SAT
prio, 150, 37, 100, SAT
prio, 150, 38, 87, SAT
prio, 150, 39, 92, SAT
prio, 150, 40, 94, SAT
prio, 150, 41, 80, SAT
prio, 150, 42, 36, UNSAT
prio, 150, 43, 29, UNSAT
prio, 150, 44, 34, UNSAT
prio, 150, 45, 91, SAT
prio, 150, 46, 58, SAT
prio, 150, 47, 26, UNSAT
