scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 150, 0, 27, SAT
prio, 150, 1, 20, SAT
prio, 150, 2, 31, SAT
prio, 150, 3, 23, SAT
prio, 150, 4, 21, SAT
prio, 150, 5, 27, SAT
prio, 150, 6, 30, SAT
prio, 150, 7, 20, SAT
prio, 150, 8, 22, SAT
prio, 150, 9, 23, SAT
prio, 150, 10, 34, SAT
prio, 150, 11, 21, SAT
prio, 150, 12, 27, SAT
prio, 150, 13, 24, SAT
prio, 150, 14, 26, SAT
prio, 150, 15, 24, SAT
prio, 150, 16, 25, SAT
prio, 150, 17, 28, SAT
prio, 150, 18, 22, SAT
prio, 150, 19, 29, SAT
prio, 150, 20, 21, SAT
prio, 150, 21, 30, SAT
prio, 150, 22, 39, SAT
prio, 150, 23, 34, SAT
prio, 150, 24, 28, SAT
prio, 150, 25, 29, SAT
prio, 150, 26, 56, SAT
prio, 150, 27, 24, SAT
prio, 150, 28, 30, SAT
prio, 150, 29, 9, UNSAT
prio, 150, 30, 7, UNSAT
prio, 150, 31, 7, UNSAT
prio, 150, 32, 29, SAT
prio, 150, 33, 7, UNSAT
prio, 150, 34, 7, UNSAT
prio, 150, 35, 6, UNSAT
prio, 150, 36, 20, UNSAT
prio, 150, 37, 39, UNSAT
prio, 150, 38, 41, SAT
prio, 150, 39, 37, SAT
