scheduler, buf_size, wl_idx, time_millis, solver_res
prio, 100, 0, 114, SAT
prio, 100, 1, 139, SAT
prio, 100, 2, 199, SAT
prio, 100, 3, 166, SAT
prio, 100, 4, 160, SAT
prio, 100, 5, 178, SAT
prio, 100, 6, 119, SAT
prio, 100, 7, 96, SAT
prio, 100, 8, 118, SAT
prio, 100, 9, 126, SAT
prio, 100, 10, 135, SAT
prio, 100, 11, 173, SAT
prio, 100, 12, 75, SAT
prio, 100, 13, 125, SAT
prio, 100, 14, 93, SAT
prio, 100, 15, 118, SAT
prio, 100, 16, 119, SAT
prio, 100, 17, 87, SAT
prio, 100, 18, 134, SAT
prio, 100, 19, 170, SAT
prio, 100, 20, 162, SAT
prio, 100, 21, 101, SAT
prio, 100, 22, 141, SAT
prio, 100, 23, 105, SAT
prio, 100, 24, 111, SAT
prio, 100, 25, 129, SAT
prio, 100, 26, 152, SAT
prio, 100, 27, 127, SAT
prio, 100, 28, 33, UNSAT
prio, 100, 29, 50, UNSAT
prio, 100, 30, 25, UNSAT
prio, 100, 31, 33, UNSAT
