scheduler, buf_size, wl_idx, time_millis, solver_res
fq, 500, 0, 3752, SAT
fq, 500, 1, 6435, SAT
fq, 500, 2, 4686, SAT
fq, 500, 3, 3722, SAT
fq, 500, 4, 3245, SAT
fq, 500, 5, 3451, SAT
fq, 500, 6, 3878, SAT
fq, 500, 7, 4828, SAT
fq, 500, 8, 2473, SAT
fq, 500, 9, 5204, SAT
fq, 500, 10, 1839, SAT
fq, 500, 11, 3328, SAT
fq, 500, 12, 3738, SAT
fq, 500, 13, 4877, SAT
fq, 500, 14, 2132, SAT
fq, 500, 15, 2493, SAT
fq, 500, 16, 3551, SAT
fq, 500, 17, 2491, SAT
fq, 500, 18, 3943, SAT
fq, 500, 19, 2616, SAT
fq, 500, 20, 2975, SAT
fq, 500, 21, 3895, SAT
fq, 500, 22, 5401, SAT
fq, 500, 23, 3053, SAT
fq, 500, 24, 2396, SAT
fq, 500, 25, 2307, SAT
fq, 500, 26, 5154, SAT
fq, 500, 27, 2826, SAT
fq, 500, 28, 3727, SAT
fq, 500, 29, 2414, SAT
fq, 500, 30, 1655, SAT
fq, 500, 31, 1553, SAT
fq, 500, 32, 2255, SAT
fq, 500, 33, 1826, SAT
fq, 500, 34, 2322, SAT
fq, 500, 35, 4998, SAT
fq, 500, 36, 4038, SAT
fq, 500, 37, 6955, SAT
fq, 500, 38, 2458, SAT
fq, 500, 39, 4803, SAT
fq, 500, 40, 5582, SAT
fq, 500, 41, 2857, SAT
fq, 500, 42, 5305, SAT
fq, 500, 43, 1949, SAT
fq, 500, 44, 4954, SAT
fq, 500, 45, 3073, SAT
fq, 500, 46, 3513, SAT
fq, 500, 47, 4252, SAT
fq, 500, 48, 2837, SAT
fq, 500, 49, 3160, SAT
fq, 500, 50, 2607, SAT
fq, 500, 51, 5117, SAT
fq, 500, 52, 4409, SAT
fq, 500, 53, 1721, SAT
fq, 500, 54, 2282, SAT
fq, 500, 55, 4261, SAT
fq, 500, 56, 5321, SAT
fq, 500, 57, 2554, SAT
fq, 500, 58, 1138, SAT
fq, 500, 59, 1440, SAT
fq, 500, 60, 2481, SAT
fq, 500, 61, 3492, SAT
fq, 500, 62, 4023, SAT
fq, 500, 63, 935, SAT
fq, 500, 64, 2362, SAT
fq, 500, 65, 7235, SAT
fq, 500, 66, 1482, SAT
fq, 500, 67, 1047, SAT
fq, 500, 68, 2753, SAT
fq, 500, 69, 2188, SAT
fq, 500, 70, 2901, SAT
fq, 500, 71, 2498, SAT
fq, 500, 72, 6615, SAT
fq, 500, 73, 2391, SAT
fq, 500, 74, 5598, SAT
fq, 500, 75, 3748, SAT
fq, 500, 76, 3074, SAT
fq, 500, 77, 3420, SAT
fq, 500, 78, 8691, SAT
fq, 500, 79, 61611, SAT
fq, 500, 80, 2624, SAT
fq, 500, 81, 4173, SAT
fq, 500, 82, 2673, SAT
