scheduler, buf_size, wl_idx, time_millis, solver_res
prio,500, 0, 34, SAT
prio,500, 1, 5, SAT
prio,500, 2, 8, SAT
prio,500, 3, 5, SAT
prio,500, 4, 7, SAT
prio,500, 5, 6, SAT
prio,500, 6, 9, SAT
prio,500, 7, 10, SAT
prio,500, 8, 9, SAT
prio,500, 9, 6, SAT
prio,500, 10, 8, SAT
prio,500, 11, 4, SAT
prio,500, 12, 5, UNSAT
prio,500, 13, 2, UNSAT
prio,500, 14, 1, UNSAT
prio,500, 15, 1, UNSAT
prio,500, 16, 1, UNSAT
prio,500, 17, 1, UNSAT
prio,500, 18, 1, UNSAT
prio,500, 19, 16, UNSAT
prio,500, 20, 17, SAT
prio,500, 21, 37, SAT
