scheduler, buf_size, wl_idx, time_millis, solver_res
rr,150, 0, 204, SAT
rr,150, 1, 84, SAT
rr,150, 2, 14, SAT
rr,150, 3, 12, SAT
rr,150, 4, 21, SAT
rr,150, 5, 21, SAT
rr,150, 6, 12, SAT
rr,150, 7, 27, SAT
rr,150, 8, 49, SAT
rr,150, 9, 20, SAT
rr,150, 10, 26, SAT
rr,150, 11, 30, SAT
rr,150, 12, 11, SAT
rr,150, 13, 50, SAT
rr,150, 14, 13, SAT
rr,150, 15, 199, SAT
rr,150, 16, 18, SAT
rr,150, 17, 23, SAT
rr,150, 18, 14, SAT
rr,150, 19, 16, SAT
rr,150, 20, 16, SAT
rr,150, 21, 19, SAT
rr,150, 22, 21, SAT
rr,150, 23, 16, SAT
rr,150, 24, 46, SAT
rr,150, 25, 28, SAT
rr,150, 26, 14, SAT
rr,150, 27, 26, SAT
rr,150, 28, 73, SAT
rr,150, 29, 59, SAT
rr,150, 30, 61, SAT
rr,150, 31, 15, SAT
rr,150, 32, 51, SAT
rr,150, 33, 39, SAT
rr,150, 34, 37, SAT
rr,150, 35, 33, SAT
rr,150, 36, 20, SAT
rr,150, 37, 39, SAT
rr,150, 38, 31, SAT
rr,150, 39, 14, SAT
rr,150, 40, 190, SAT
rr,150, 41, 31, SAT
rr,150, 42, 135, SAT
rr,150, 43, 34, SAT
rr,150, 44, 34, SAT
rr,150, 45, 169, SAT
rr,150, 46, 29, SAT
rr,150, 47, 28, SAT
rr,150, 48, 72, SAT
rr,150, 49, 67, SAT
rr,150, 50, 138, SAT
rr,150, 51, 40, SAT
rr,150, 52, 31, SAT
rr,150, 53, 49, SAT
rr,150, 54, 38, SAT
rr,150, 55, 68, SAT
rr,150, 56, 14, SAT
rr,150, 57, 48, SAT
rr,150, 58, 68, SAT
rr,150, 59, 22, SAT
rr,150, 60, 15, SAT
rr,150, 61, 22, SAT
rr,150, 62, 19, SAT
rr,150, 63, 18, SAT
rr,150, 64, 30, SAT
rr,150, 65, 37, SAT
rr,150, 66, 27, SAT
rr,150, 67, 32, SAT
rr,150, 68, 27, SAT
rr,150, 69, 14, SAT
rr,150, 70, 22, SAT
rr,150, 71, 14, SAT
rr,150, 72, 13, SAT
rr,150, 73, 29, SAT
rr,150, 74, 13, SAT
rr,150, 75, 75, SAT
rr,150, 76, 37, SAT
rr,150, 77, 131, SAT
rr,150, 78, 157, SAT
rr,150, 79, 43, SAT
rr,150, 80, 35, SAT
rr,150, 81, 52, SAT
rr,150, 82, 72, SAT
rr,150, 83, 27, SAT
rr,150, 84, 50, SAT
rr,150, 85, 37, SAT
rr,150, 86, 40, SAT
rr,150, 87, 13, SAT
rr,150, 88, 42, SAT
rr,150, 89, 39, SAT
rr,150, 90, 72, SAT
rr,150, 91, 41, SAT
rr,150, 92, 91, SAT
rr,150, 93, 21, SAT
rr,150, 94, 41, SAT
rr,150, 95, 24, SAT
rr,150, 96, 59, SAT
rr,150, 97, 98, SAT
rr,150, 98, 26, SAT
rr,150, 99, 23, SAT
rr,150, 100, 13, SAT
rr,150, 101, 12, SAT
rr,150, 102, 12, SAT
rr,150, 103, 13, SAT
rr,150, 104, 31, SAT
rr,150, 105, 31, SAT
rr,150, 106, 18, SAT
rr,150, 107, 26, SAT
rr,150, 108, 23, SAT
rr,150, 109, 18, SAT
rr,150, 110, 51, SAT
rr,150, 111, 20, SAT
rr,150, 112, 21, SAT
rr,150, 113, 13, SAT
rr,150, 114, 14, SAT
rr,150, 115, 14, SAT
rr,150, 116, 16, SAT
rr,150, 117, 18, SAT
rr,150, 118, 14, SAT
rr,150, 119, 13, SAT
rr,150, 120, 72, SAT
rr,150, 121, 18, SAT
rr,150, 122, 30, SAT
rr,150, 123, 43, SAT
rr,150, 124, 27, SAT
rr,150, 125, 42, SAT
rr,150, 126, 16, SAT
rr,150, 127, 12, SAT
rr,150, 128, 17, SAT
rr,150, 129, 12, SAT
rr,150, 130, 13, SAT
rr,150, 131, 12, SAT
rr,150, 132, 13, SAT
rr,150, 133, 15, SAT
rr,150, 134, 12, SAT
rr,150, 135, 12, SAT
rr,150, 136, 12, SAT
rr,150, 137, 55, SAT
rr,150, 138, 37, UNSAT
rr,150, 139, 29, UNSAT
rr,150, 140, 21, UNSAT
rr,150, 141, 19, UNSAT
rr,150, 142, 20, UNSAT
